"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2017","1.1820","1.1768","1.1847","1.1688","","0.44%"
"07/30/2017","1.1768","1.1738","1.1910","1.1723","","0.15%"
"07/23/2017","1.1750","1.1660","1.1777","1.1612","","0.76%"
"07/16/2017","1.1661","1.1464","1.1683","1.1434","","1.69%"
"07/09/2017","1.1467","1.1393","1.1490","1.1370","","0.59%"
"07/02/2017","1.1400","1.1421","1.1441","1.1312","","-0.20%"
"06/25/2017","1.1423","1.1201","1.1446","1.1171","","2.06%"
"06/18/2017","1.1192","1.1200","1.1215","1.1118","","-0.04%"
"06/11/2017","1.1197","1.1195","1.1296","1.1132","","0.04%"
"06/04/2017","1.1192","1.1279","1.1286","1.1166","","-0.78%"
"05/28/2017","1.1280","1.1179","1.1286","1.1109","","0.88%"
"05/21/2017","1.1182","1.1202","1.1269","1.1159","","-0.20%"
"05/14/2017","1.1204","1.0927","1.1213","1.0921","","2.53%"
"05/07/2017","1.0928","1.0999","1.1025","1.0839","","-0.61%"
"04/30/2017","1.0995","1.0907","1.1001","1.0875","","0.92%"
"04/23/2017","1.0895","1.0891","1.0951","1.0820","","1.58%"
"04/16/2017","1.0726","1.0615","1.0778","1.0602","","1.10%"
"04/09/2017","1.0609","1.0592","1.0678","1.0569","","0.20%"
"04/02/2017","1.0588","1.0661","1.0690","1.0580","","-0.57%"
"03/26/2017","1.0649","1.0797","1.0905","1.0651","","-1.37%"
"03/19/2017","1.0797","1.0739","1.0826","1.0718","","0.57%"
"03/12/2017","1.0736","1.0674","1.0783","1.0599","","0.60%"
"03/05/2017","1.0672","1.0617","1.0702","1.0526","","0.46%"
"02/26/2017","1.0623","1.0563","1.0633","1.0495","","0.57%"
"02/19/2017","1.0563","1.0617","1.0636","1.0495","","-0.48%"
"02/12/2017","1.0614","1.0635","1.0683","1.0523","","-0.25%"
"02/05/2017","1.0641","1.0783","1.0803","1.0609","","-1.33%"
"01/29/2017","1.0784","1.0692","1.0831","1.0620","","0.79%"
"01/22/2017","1.0699","1.0688","1.0779","1.0660","","-0.04%"
"01/15/2017","1.0703","1.0619","1.0722","1.0581","","0.55%"
"01/08/2017","1.0644","1.0540","1.0687","1.0455","","1.05%"
"01/01/2017","1.0533","1.0532","1.0624","1.0342","","0.16%"
"12/25/2016","1.0516","1.0454","1.0654","1.0372","","0.57%"
"12/18/2016","1.0456","1.0445","1.0501","1.0353","","0.05%"
"12/11/2016","1.0451","1.0554","1.0673","1.0368","","-1.05%"
"12/04/2016","1.0562","1.0675","1.0875","1.0506","","-1.04%"
"11/27/2016","1.0673","1.0596","1.0692","1.0554","","0.81%"
"11/20/2016","1.0587","1.0584","1.0661","1.0518","","-0.01%"
"11/13/2016","1.0588","1.0850","1.0852","1.0570","","-2.47%"
"11/06/2016","1.0856","1.1140","1.1305","1.0833","","-2.53%"
"10/30/2016","1.1138","1.0987","1.1146","1.0937","","1.37%"
"10/23/2016","1.0987","1.0880","1.0995","1.0852","","0.95%"
"10/16/2016","1.0884","1.0974","1.1041","1.0859","","-0.79%"
"10/09/2016","1.0971","1.1197","1.1203","1.0968","","-2.05%"
"10/02/2016","1.1201","1.1235","1.1245","1.1103","","-0.36%"
"09/25/2016","1.1241","1.1224","1.1281","1.1153","","0.13%"
"09/18/2016","1.1226","1.1164","1.1261","1.1123","","0.64%"
"09/11/2016","1.1155","1.1232","1.1285","1.1147","","-0.69%"
"09/04/2016","1.1233","1.1153","1.1329","1.1140","","0.69%"
"08/28/2016","1.1156","1.1194","1.1254","1.1124","","-0.38%"
"08/21/2016","1.1198","1.1305","1.1357","1.1180","","-1.13%"
"08/14/2016","1.1326","1.1162","1.1366","1.1153","","1.48%"
"08/07/2016","1.1161","1.1088","1.1224","1.1070","","0.69%"
"07/31/2016","1.1085","1.1174","1.1234","1.1043","","-0.80%"
"07/24/2016","1.1174","1.0972","1.1200","1.0954","","1.80%"
"07/17/2016","1.0976","1.1042","1.1087","1.0954","","-0.54%"
"07/10/2016","1.1036","1.1052","1.1166","1.1016","","-0.17%"
"07/03/2016","1.1055","1.1142","1.1185","1.1001","","-0.73%"
"06/26/2016","1.1136","1.1069","1.1169","1.0969","","0.17%"
"06/19/2016","1.1117","1.1283","1.1434","1.0911","","-1.42%"
"06/12/2016","1.1277","1.1254","1.1305","1.1132","","0.23%"
"06/05/2016","1.1251","1.1351","1.1417","1.1245","","-1.02%"
"05/29/2016","1.1367","1.1116","1.1377","1.1098","","2.27%"
"05/22/2016","1.1115","1.1216","1.1244","1.1107","","-0.97%"
"05/15/2016","1.1224","1.1309","1.1349","1.1180","","-0.74%"
"05/08/2016","1.1308","1.1402","1.1449","1.1284","","-0.85%"
"05/01/2016","1.1405","1.1447","1.1617","1.1387","","-0.45%"
"04/24/2016","1.1456","1.1230","1.1461","1.1215","","1.98%"
"04/17/2016","1.1234","1.1299","1.1398","1.1220","","-0.43%"
"04/10/2016","1.1283","1.1408","1.1467","1.1235","","-1.04%"
"04/03/2016","1.1401","1.1394","1.1456","1.1327","","0.12%"
"03/27/2016","1.1387","1.1162","1.1439","1.1153","","1.98%"
"03/20/2016","1.1166","1.1271","1.1287","1.1145","","-0.92%"
"03/13/2016","1.1270","1.1152","1.1345","1.1058","","1.05%"
"03/06/2016","1.1153","1.1009","1.1220","1.0823","","1.35%"
"02/28/2016","1.1004","1.0933","1.1045","1.0826","","0.64%"
"02/21/2016","1.0934","1.1128","1.1137","1.0913","","-1.81%"
"02/14/2016","1.1135","1.1252","1.1254","1.1066","","-1.11%"
"02/07/2016","1.1260","1.1159","1.1378","1.1086","","0.91%"
"01/31/2016","1.1159","1.0834","1.1246","1.0815","","2.97%"
"01/24/2016","1.0837","1.0799","1.0970","1.0789","","0.37%"
"01/17/2016","1.0797","1.0919","1.0978","1.0780","","-1.10%"
"01/10/2016","1.0917","1.0925","1.0987","1.0806","","-0.14%"
"01/03/2016","1.0932","1.0858","1.0949","1.0712","","0.66%"
"12/27/2015","1.0860","1.0964","1.0994","1.0845","","-1.07%"
"12/20/2015","1.0977","1.0865","1.0988","1.0850","","1.00%"
"12/13/2015","1.0868","1.0986","1.1062","1.0802","","-1.11%"
"12/06/2015","1.0990","1.0860","1.1043","1.0796","","0.96%"
"11/29/2015","1.0886","1.0592","1.0982","1.0540","","2.77%"
"11/22/2015","1.0593","1.0648","1.0692","1.0568","","-0.50%"
"11/15/2015","1.0646","1.0752","1.0781","1.0618","","-1.23%"
"11/08/2015","1.0779","1.0737","1.0831","1.0675","","0.35%"
"11/01/2015","1.0741","1.1016","1.1054","1.0709","","-2.40%"
"10/25/2015","1.1005","1.1007","1.1096","1.0895","","-0.12%"
"10/18/2015","1.1018","1.1353","1.1389","1.0997","","-2.89%"
"10/11/2015","1.1346","1.1355","1.1496","1.1334","","-0.11%"
"10/04/2015","1.1358","1.1223","1.1391","1.1174","","1.31%"
"09/27/2015","1.1211","1.1195","1.1319","1.1135","","0.14%"
"09/20/2015","1.1195","1.1281","1.1329","1.1103","","-0.97%"
"09/13/2015","1.1305","1.1336","1.1460","1.1213","","-0.31%"
"09/06/2015","1.1340","1.1158","1.1349","1.1120","","1.73%"
"08/30/2015","1.1147","1.1174","1.1332","1.1087","","-0.29%"
"08/23/2015","1.1179","1.1361","1.1711","1.1156","","-1.84%"
"08/16/2015","1.1389","1.1107","1.1394","1.1018","","2.55%"
"08/09/2015","1.1106","1.0966","1.1213","1.0924","","1.25%"
"08/02/2015","1.0969","1.0972","1.0998","1.0851","","-0.17%"
"07/26/2015","1.0988","1.0972","1.1129","1.0893","","0.04%"
"07/19/2015","1.0984","1.0833","1.1020","1.0810","","1.42%"
"07/12/2015","1.0830","1.1106","1.1198","1.0828","","-2.99%"
"07/05/2015","1.1164","1.0994","1.1218","1.0917","","0.45%"
"06/28/2015","1.1114","1.1032","1.1280","1.0955","","-0.47%"
"06/21/2015","1.1166","1.1364","1.1412","1.1131","","-1.65%"
"06/14/2015","1.1353","1.1226","1.1437","1.1189","","0.75%"
"06/07/2015","1.1269","1.1114","1.1385","1.1081","","1.40%"
"05/31/2015","1.1113","1.0988","1.1381","1.0888","","1.14%"
"05/24/2015","1.0988","1.1004","1.1010","1.0819","","-0.27%"
"05/17/2015","1.1018","1.1442","1.1451","1.1003","","-3.80%"
"05/10/2015","1.1453","1.1198","1.1467","1.1132","","2.22%"
"05/03/2015","1.1204","1.1201","1.1393","1.1066","","0.03%"
"04/26/2015","1.1201","1.0872","1.1291","1.0819","","3.01%"
"04/19/2015","1.0874","1.0822","1.0901","1.0660","","0.62%"
"04/12/2015","1.0807","1.0602","1.0850","1.0521","","1.91%"
"04/05/2015","1.0604","1.0990","1.1037","1.0569","","-3.41%"
"03/29/2015","1.0978","1.0889","1.1028","1.0714","","0.82%"
"03/22/2015","1.0889","1.0837","1.1053","1.0768","","0.62%"
"03/15/2015","1.0822","1.0494","1.1033","1.0458","","3.12%"
"03/08/2015","1.0495","1.0832","1.0908","1.0462","","-3.22%"
"03/01/2015","1.0844","1.1187","1.1241","1.0841","","-3.14%"
"02/22/2015","1.1196","1.1384","1.1415","1.1178","","-1.63%"
"02/15/2015","1.1381","1.1386","1.1453","1.1280","","-0.04%"
"02/08/2015","1.1385","1.1317","1.1443","1.1272","","0.61%"
"02/01/2015","1.1316","1.1284","1.1535","1.1280","","0.25%"
"01/25/2015","1.1288","1.1186","1.1424","1.1100","","0.71%"
"01/18/2015","1.1208","1.1550","1.1675","1.1114","","-3.12%"
"01/11/2015","1.1569","1.1840","1.1872","1.1462","","-2.31%"
"01/04/2015","1.1842","1.2004","1.2008","1.1756","","-1.34%"
"12/28/2014","1.2003","1.2184","1.2223","1.2002","","-1.42%"
"12/21/2014","1.2176","1.2227","1.2273","1.2166","","-0.43%"
"12/14/2014","1.2228","1.2464","1.2571","1.2222","","-1.88%"
"12/07/2014","1.2462","1.2279","1.2496","1.2247","","1.43%"
"11/30/2014","1.2286","1.2455","1.2507","1.2271","","-1.33%"
"11/23/2014","1.2452","1.2378","1.2533","1.2359","","0.50%"
"11/16/2014","1.2390","1.2528","1.2602","1.2375","","-1.07%"
"11/09/2014","1.2524","1.2453","1.2549","1.2395","","0.56%"
"11/02/2014","1.2454","1.2517","1.2579","1.2360","","-0.57%"
"10/26/2014","1.2525","1.2682","1.2771","1.2485","","-1.14%"
"10/19/2014","1.2670","1.2757","1.2839","1.2612","","-0.73%"
"10/12/2014","1.2763","1.2637","1.2887","1.2620","","1.07%"
"10/05/2014","1.2628","1.2508","1.2792","1.2503","","0.89%"
"09/28/2014","1.2517","1.2685","1.2716","1.2500","","-1.32%"
"09/21/2014","1.2685","1.2828","1.2902","1.2677","","-1.12%"
"09/14/2014","1.2829","1.2976","1.2995","1.2827","","-1.05%"
"09/07/2014","1.2965","1.2943","1.2980","1.2859","","0.12%"
"08/31/2014","1.2950","1.3138","1.3161","1.2919","","-1.39%"
"08/24/2014","1.3133","1.3218","1.3220","1.3131","","-0.83%"
"08/17/2014","1.3243","1.3394","1.3401","1.3220","","-1.16%"
"08/10/2014","1.3399","1.3401","1.3416","1.3336","","-0.09%"
"08/03/2014","1.3411","1.3427","1.3434","1.3332","","-0.14%"
"07/27/2014","1.3430","1.3432","1.3445","1.3367","","-0.01%"
"07/20/2014","1.3432","1.3529","1.3552","1.3422","","-0.69%"
"07/13/2014","1.3525","1.3601","1.3639","1.3491","","-0.62%"
"07/06/2014","1.3609","1.3596","1.3651","1.3575","","0.10%"
"06/29/2014","1.3596","1.3647","1.3702","1.3586","","-0.39%"
"06/22/2014","1.3649","1.3595","1.3653","1.3574","","0.37%"
"06/15/2014","1.3599","1.3535","1.3643","1.3512","","0.42%"
"06/08/2014","1.3542","1.3643","1.3668","1.3510","","-0.74%"
"06/01/2014","1.3643","1.3634","1.3678","1.3504","","0.09%"
"05/25/2014","1.3631","1.3626","1.3669","1.3585","","-0.02%"
"05/18/2014","1.3634","1.3702","1.3735","1.3615","","-0.45%"
"05/11/2014","1.3695","1.3752","1.3777","1.3649","","-0.47%"
"05/04/2014","1.3760","1.3873","1.3995","1.3746","","-0.79%"
"04/27/2014","1.3870","1.3834","1.3889","1.3775","","0.27%"
"04/20/2014","1.3833","1.3810","1.3856","1.3785","","0.13%"
"04/13/2014","1.3815","1.3838","1.3867","1.3790","","-0.50%"
"04/06/2014","1.3885","1.3697","1.3907","1.3690","","1.33%"
"03/30/2014","1.3703","1.3755","1.3820","1.3672","","-0.36%"
"03/23/2014","1.3753","1.3792","1.3876","1.3705","","-0.30%"
"03/16/2014","1.3794","1.3912","1.3950","1.3750","","-0.86%"
"03/09/2014","1.3914","1.3874","1.3967","1.3832","","0.26%"
"03/02/2014","1.3878","1.3787","1.3917","1.3708","","0.54%"
"02/23/2014","1.3803","1.3735","1.3824","1.3641","","0.46%"
"02/16/2014","1.3740","1.3689","1.3776","1.3688","","0.34%"
"02/09/2014","1.3693","1.3634","1.3718","1.3563","","0.43%"
"02/02/2014","1.3635","1.3494","1.3642","1.3477","","1.10%"
"01/26/2014","1.3487","1.3677","1.3718","1.3480","","-1.40%"
"01/19/2014","1.3678","1.3544","1.3741","1.3509","","1.01%"
"01/12/2014","1.3541","1.3670","1.3700","1.3517","","-0.94%"
"01/05/2014","1.3670","1.3590","1.3689","1.3550","","0.60%"
"12/29/2013","1.3588","1.3744","1.3821","1.3582","","-1.12%"
"12/22/2013","1.3742","1.3670","1.3893","1.3654","","0.51%"
"12/15/2013","1.3672","1.3739","1.3811","1.3624","","-0.52%"
"12/08/2013","1.3743","1.3721","1.3812","1.3694","","0.27%"
"12/01/2013","1.3706","1.3590","1.3708","1.3525","","0.85%"
"11/24/2013","1.3590","1.3550","1.3622","1.3491","","0.24%"
"11/17/2013","1.3558","1.3501","1.3578","1.3399","","0.47%"
"11/10/2013","1.3495","1.3361","1.3506","1.3344","","0.93%"
"11/03/2013","1.3371","1.3489","1.3548","1.3296","","-0.86%"
"10/27/2013","1.3487","1.3805","1.3819","1.3481","","-2.30%"
"10/20/2013","1.3805","1.3687","1.3833","1.3650","","0.88%"
"10/13/2013","1.3685","1.3544","1.3704","1.3472","","1.06%"
"10/06/2013","1.3542","1.3556","1.3608","1.3486","","-0.12%"
"09/29/2013","1.3558","1.3479","1.3646","1.3467","","0.27%"
"09/22/2013","1.3522","1.3546","1.3565","1.3461","","-0.01%"
"09/15/2013","1.3524","1.3307","1.3570","1.3297","","1.73%"
"09/08/2013","1.3294","1.3170","1.3326","1.3160","","0.86%"
"09/01/2013","1.3180","1.3233","1.3237","1.3104","","-0.32%"
"08/25/2013","1.3222","1.3384","1.3401","1.3175","","-1.20%"
"08/18/2013","1.3382","1.3327","1.3453","1.3298","","0.40%"
"08/11/2013","1.3329","1.3338","1.3380","1.3205","","-0.10%"
"08/04/2013","1.3343","1.3274","1.3401","1.3232","","0.45%"
"07/28/2013","1.3283","1.3274","1.3346","1.3190","","0.03%"
"07/21/2013","1.3279","1.3140","1.3297","1.3129","","1.04%"
"07/14/2013","1.3142","1.3066","1.3176","1.2994","","0.57%"
"07/07/2013","1.3068","1.2826","1.3203","1.2756","","1.84%"
"06/30/2013","1.2832","1.3007","1.3080","1.2807","","-1.37%"
"06/23/2013","1.3010","1.3117","1.3152","1.2985","","-0.86%"
"06/16/2013","1.3123","1.3341","1.3416","1.3099","","-1.68%"
"06/09/2013","1.3347","1.3207","1.3391","1.3177","","0.94%"
"06/02/2013","1.3223","1.2983","1.3305","1.2955","","1.72%"
"05/26/2013","1.2999","1.2929","1.3065","1.2841","","0.52%"
"05/19/2013","1.2932","1.2812","1.3001","1.2805","","0.72%"
"05/12/2013","1.2839","1.2957","1.3029","1.2796","","-1.19%"
"05/05/2013","1.2993","1.3114","1.3195","1.2936","","-0.93%"
"04/28/2013","1.3115","1.3031","1.3244","1.3028","","0.67%"
"04/21/2013","1.3028","1.3081","1.3095","1.2957","","-0.18%"
"04/14/2013","1.3052","1.3132","1.3202","1.3001","","-0.46%"
"04/07/2013","1.3112","1.2974","1.3139","1.2962","","0.94%"
"03/31/2013","1.2990","1.2814","1.3041","1.2746","","1.33%"
"03/24/2013","1.2820","1.2973","1.3051","1.2752","","-1.29%"
"03/17/2013","1.2988","1.2959","1.3011","1.2845","","-0.67%"
"03/10/2013","1.3076","1.2999","1.3109","1.2912","","0.54%"
"03/03/2013","1.3006","1.3018","1.3136","1.2957","","-0.12%"
"02/24/2013","1.3022","1.3176","1.3319","1.2967","","-1.27%"
"02/17/2013","1.3190","1.3359","1.3436","1.3146","","-1.29%"
"02/10/2013","1.3363","1.3359","1.3521","1.3306","","-0.01%"
"02/03/2013","1.3365","1.3643","1.3660","1.3354","","-2.02%"
"01/27/2013","1.3640","1.3464","1.3712","1.3414","","1.32%"
"01/20/2013","1.3462","1.3321","1.3481","1.3264","","1.07%"
"01/13/2013","1.3319","1.3342","1.3405","1.3258","","-0.19%"
"01/06/2013","1.3344","1.3071","1.3366","1.3017","","2.10%"
"12/30/2012","1.3069","1.3213","1.3301","1.2999","","-1.11%"
"12/23/2012","1.3216","1.3190","1.3287","1.3167","","0.21%"
"12/16/2012","1.3188","1.3190","1.3310","1.3144","","0.19%"
"12/09/2012","1.3163","1.2902","1.3175","1.2880","","1.83%"
"12/02/2012","1.2927","1.2986","1.3129","1.2881","","-0.45%"
"11/25/2012","1.2986","1.2973","1.3028","1.2879","","0.08%"
"11/18/2012","1.2976","1.2738","1.2992","1.2729","","1.82%"
"11/11/2012","1.2744","1.2712","1.2803","1.2662","","0.28%"
"11/04/2012","1.2709","1.2812","1.2877","1.2689","","-1.00%"
"10/28/2012","1.2837","1.2948","1.3022","1.2820","","-0.81%"
"10/21/2012","1.2942","1.3014","1.3085","1.2883","","-0.61%"
"10/14/2012","1.3022","1.2956","1.3140","1.2890","","0.56%"
"10/07/2012","1.2950","1.3030","1.3035","1.2824","","-0.64%"
"09/30/2012","1.3034","1.2859","1.3072","1.2803","","1.37%"
"09/23/2012","1.2858","1.2980","1.2990","1.2828","","-0.94%"
"09/16/2012","1.2980","1.3127","1.3169","1.2919","","-1.12%"
"09/09/2012","1.3127","1.2809","1.3171","1.2755","","2.43%"
"09/02/2012","1.2816","1.2567","1.2818","1.2501","","1.90%"
"08/26/2012","1.2577","1.2512","1.2638","1.2465","","0.51%"
"08/19/2012","1.2513","1.2344","1.2590","1.2294","","1.45%"
"08/12/2012","1.2334","1.2280","1.2386","1.2255","","0.36%"
"08/05/2012","1.2290","1.2378","1.2443","1.2239","","-0.78%"
"07/29/2012","1.2387","1.2342","1.2406","1.2134","","0.55%"
"07/22/2012","1.2319","1.2119","1.2390","1.2041","","1.33%"
"07/15/2012","1.2157","1.2255","1.2322","1.2144","","-0.78%"
"07/08/2012","1.2252","1.2271","1.2334","1.2161","","-0.29%"
"07/01/2012","1.2288","1.2672","1.2674","1.2260","","-2.94%"
"06/24/2012","1.2660","1.2553","1.2694","1.2407","","0.72%"
"06/17/2012","1.2570","1.2722","1.2749","1.2520","","-0.54%"
"06/10/2012","1.2638","1.2659","1.2670","1.2443","","0.97%"
"06/03/2012","1.2517","1.2433","1.2626","1.2386","","0.66%"
"05/27/2012","1.2435","1.2569","1.2626","1.2288","","-0.66%"
"05/20/2012","1.2517","1.2783","1.2826","1.2497","","-2.08%"
"05/13/2012","1.2783","1.2882","1.2905","1.2641","","-1.04%"
"05/06/2012","1.2917","1.3030","1.3067","1.2905","","-1.27%"
"04/29/2012","1.3083","1.3241","1.3285","1.3079","","-1.30%"
"04/22/2012","1.3255","1.3194","1.3273","1.3106","","0.23%"
"04/15/2012","1.3224","1.3068","1.3228","1.2995","","1.12%"
"04/08/2012","1.3077","1.3102","1.3215","1.3034","","-0.15%"
"04/01/2012","1.3096","1.3360","1.3382","1.3035","","-1.86%"
"03/25/2012","1.3344","1.3272","1.3386","1.3191","","0.53%"
"03/18/2012","1.3273","1.3181","1.3295","1.3135","","0.74%"
"03/11/2012","1.3175","1.3112","1.3193","1.3004","","0.47%"
"03/04/2012","1.3114","1.3190","1.3291","1.3096","","-0.67%"
"02/26/2012","1.3203","1.3466","1.3487","1.3188","","-1.89%"
"02/19/2012","1.3457","1.3187","1.3489","1.3175","","2.32%"
"02/12/2012","1.3152","1.3207","1.3283","1.2973","","-0.17%"
"02/05/2012","1.3175","1.3113","1.3323","1.3028","","0.24%"
"01/29/2012","1.3144","1.3224","1.3230","1.3024","","-0.62%"
"01/22/2012","1.3226","1.2872","1.3230","1.2872","","2.23%"
"01/15/2012","1.2938","1.2637","1.2986","1.2624","","2.06%"
"01/08/2012","1.2677","1.2691","1.2879","1.2624","","-0.35%"
"01/01/2012","1.2721","1.2938","1.3077","1.2696","","-1.75%"
"12/25/2011","1.2948","1.3047","1.3085","1.2858","","-0.73%"
"12/18/2011","1.3043","1.3045","1.3199","1.2982","","0.06%"
"12/11/2011","1.3035","1.3384","1.3388","1.2947","","-2.54%"
"12/04/2011","1.3375","1.3438","1.3489","1.3283","","-0.21%"
"11/27/2011","1.3403","1.3318","1.3549","1.3258","","1.28%"
"11/20/2011","1.3234","1.3506","1.3569","1.3211","","-2.04%"
"11/13/2011","1.3510","1.3807","1.3813","1.3422","","-1.76%"
"11/06/2011","1.3752","1.3838","1.3861","1.3483","","-0.32%"
"10/30/2011","1.3796","1.4150","1.4171","1.3610","","-2.49%"
"10/23/2011","1.4148","1.3866","1.4249","1.3798","","1.81%"
"10/16/2011","1.3896","1.3885","1.3916","1.3653","","0.14%"
"10/09/2011","1.3877","1.3397","1.3896","1.3378","","3.74%"
"10/02/2011","1.3377","1.3338","1.3527","1.3147","","-0.07%"
"09/25/2011","1.3386","1.3509","1.3691","1.3363","","-0.83%"
"09/18/2011","1.3498","1.3673","1.3791","1.3385","","-2.19%"
"09/11/2011","1.3800","1.3570","1.3939","1.3502","","1.08%"
"09/04/2011","1.3653","1.4167","1.4277","1.3628","","-3.89%"
"08/28/2011","1.4205","1.4498","1.4551","1.4184","","-2.03%"
"08/21/2011","1.4499","1.4376","1.4503","1.4327","","0.70%"
"08/14/2011","1.4398","1.4261","1.4520","1.4259","","1.05%"
"08/07/2011","1.4249","1.4386","1.4402","1.4103","","-0.23%"
"07/31/2011","1.4282","1.4359","1.4455","1.4056","","-0.79%"
"07/24/2011","1.4396","1.4397","1.4537","1.4229","","0.28%"
"07/17/2011","1.4356","1.4114","1.4441","1.4012","","1.43%"
"07/10/2011","1.4153","1.4218","1.4284","1.3838","","-0.82%"
"07/03/2011","1.4270","1.4543","1.4580","1.4207","","-1.76%"
"06/26/2011","1.4525","1.4193","1.4554","1.4104","","2.34%"
"06/19/2011","1.4193","1.4275","1.4444","1.4128","","-0.82%"
"06/12/2011","1.4311","1.4331","1.4501","1.4074","","-0.26%"
"06/05/2011","1.4348","1.4630","1.4699","1.4323","","-1.97%"
"05/29/2011","1.4637","1.4315","1.4645","1.4257","","2.19%"
"05/22/2011","1.4324","1.4132","1.4325","1.3971","","1.19%"
"05/15/2011","1.4155","1.4081","1.4348","1.4049","","0.24%"
"05/08/2011","1.4121","1.4370","1.4444","1.4067","","-1.32%"
"05/01/2011","1.4310","1.4825","1.4941","1.4310","","-3.32%"
"04/24/2011","1.4802","1.4561","1.4884","1.4495","","1.69%"
"04/17/2011","1.4556","1.4418","1.4650","1.4156","","0.86%"
"04/10/2011","1.4432","1.4456","1.4523","1.4365","","-0.34%"
"04/03/2011","1.4481","1.4226","1.4491","1.4152","","1.76%"
"03/27/2011","1.4231","1.4048","1.4248","1.4022","","1.04%"
"03/20/2011","1.4084","1.4184","1.4252","1.4052","","-0.67%"
"03/13/2011","1.4179","1.3964","1.4187","1.3855","","1.93%"
"03/06/2011","1.3910","1.3998","1.4040","1.3752","","-0.54%"
"02/27/2011","1.3985","1.3759","1.4009","1.3712","","1.70%"
"02/20/2011","1.3751","1.3702","1.3838","1.3525","","0.39%"
"02/13/2011","1.3697","1.3510","1.3718","1.3428","","1.09%"
"02/06/2011","1.3549","1.3564","1.3747","1.3498","","-0.27%"
"01/30/2011","1.3586","1.3599","1.3862","1.3542","","-0.20%"
"01/23/2011","1.3613","1.3638","1.3760","1.3537","","-0.04%"
"01/16/2011","1.3618","1.3384","1.3629","1.3246","","1.80%"
"01/09/2011","1.3377","1.2882","1.3458","1.2873","","3.55%"
"01/02/2011","1.2919","1.3348","1.3436","1.2906","","-3.44%"
"12/26/2010","1.3379","1.3116","1.3427","1.3073","","1.99%"
"12/19/2010","1.3118","1.3182","1.3205","1.3056","","-0.49%"
"12/12/2010","1.3182","1.3207","1.3500","1.3133","","-0.39%"
"12/05/2010","1.3234","1.3383","1.3422","1.3164","","-1.35%"
"11/28/2010","1.3415","1.3285","1.3418","1.2965","","1.30%"
"11/21/2010","1.3243","1.3717","1.3789","1.3199","","-3.24%"
"11/14/2010","1.3687","1.3712","1.3752","1.3449","","-0.04%"
"11/07/2010","1.3693","1.4053","1.4087","1.3573","","-2.43%"
"10/31/2010","1.4034","1.3964","1.4284","1.3863","","0.60%"
"10/24/2010","1.3950","1.3958","1.4083","1.3735","","-0.01%"
"10/17/2010","1.3952","1.3977","1.4053","1.3699","","-0.19%"
"10/10/2010","1.3979","1.3995","1.4160","1.3774","","0.26%"
"10/03/2010","1.3943","1.3793","1.4031","1.3638","","1.09%"
"09/26/2010","1.3792","1.3482","1.3796","1.3383","","2.23%"
"09/19/2010","1.3491","1.3055","1.3498","1.3028","","3.40%"
"09/12/2010","1.3048","1.2709","1.3162","1.2704","","2.90%"
"09/05/2010","1.2680","1.2890","1.2921","1.2645","","-1.67%"
"08/29/2010","1.2896","1.2768","1.2900","1.2626","","1.03%"
"08/22/2010","1.2765","1.2706","1.2781","1.2587","","0.45%"
"08/15/2010","1.2708","1.2761","1.2926","1.2664","","-0.35%"
"08/08/2010","1.2752","1.3292","1.3310","1.2750","","-4.01%"
"08/01/2010","1.3285","1.3063","1.3336","1.3054","","1.82%"
"07/25/2010","1.3048","1.2903","1.3109","1.2877","","1.09%"
"07/18/2010","1.2907","1.2896","1.3031","1.2733","","-0.20%"
"07/11/2010","1.2933","1.2642","1.3010","1.2523","","2.34%"
"07/04/2010","1.2637","1.2559","1.2725","1.2481","","0.59%"
"06/27/2010","1.2563","1.2374","1.2616","1.2152","","1.50%"
"06/20/2010","1.2377","1.2440","1.2470","1.2210","","-0.08%"
"06/13/2010","1.2387","1.2127","1.2419","1.2116","","2.26%"
"06/06/2010","1.2113","1.1948","1.2155","1.1878","","1.14%"
"05/30/2010","1.1976","1.2276","1.2356","1.1956","","-2.40%"
"05/23/2010","1.2270","1.2548","1.2562","1.2155","","-2.41%"
"05/16/2010","1.2573","1.2352","1.2675","1.2145","","1.70%"
"05/09/2010","1.2363","1.2935","1.3096","1.2355","","-3.13%"
"05/02/2010","1.2762","1.3343","1.3343","1.2523","","-4.03%"
"04/25/2010","1.3298","1.3347","1.3416","1.3115","","-0.66%"
"04/18/2010","1.3386","1.3480","1.3525","1.3202","","-0.84%"
"04/11/2010","1.3499","1.3623","1.3694","1.3473","","0.00%"
"04/04/2010","1.3499","1.3491","1.3541","1.3281","","-0.04%"
"03/28/2010","1.3504","1.3488","1.3593","1.3384","","0.68%"
"03/21/2010","1.3413","1.3527","1.3572","1.3268","","-0.89%"
"03/14/2010","1.3534","1.3777","1.3820","1.3502","","-1.66%"
"03/07/2010","1.3763","1.3630","1.3798","1.3535","","1.04%"
"02/28/2010","1.3622","1.3625","1.3737","1.3433","","-0.03%"
"02/21/2010","1.3626","1.3638","1.3693","1.3451","","0.08%"
"02/14/2010","1.3615","1.3613","1.3790","1.3443","","-0.02%"
"02/07/2010","1.3618","1.3666","1.3841","1.3532","","-0.34%"
"01/31/2010","1.3664","1.3864","1.4028","1.3586","","-1.44%"
